
Date,Open Price,High,Low,Close Price,Volume
1/2/2023,147.89,149.74,139.07,140.02,873869
1/3/2023,146.1,149.05,145.04,147.78,2640418
1/4/2023,178.87,186.8,168.99,178.7,1669807
1/5/2023,140.04,141.89,135.61,141.77,2559980
1/6/2023,164.66,173.84,164.18,166.38,1002416
1/9/2023,171.07,175.32,170.69,172.56,2169277
1/10/2023,132.06,132.93,124.6,129.12,2128263
1/11/2023,163.52,171.68,156.93,168.61,1549971
1/12/2023,177.58,181.32,169.56,176.01,1065972
1/13/2023,136.21,141.47,135.16,139.03,2142057
1/16/2023,174.81,175.93,174.45,174.78,2700341
1/17/2023,159.74,159.77,154.65,158.99,1285757
1/18/2023,160.83,167.21,156.95,161.35,2854376
1/19/2023,160.65,165.8,156.03,157.41,1985111
1/20/2023,144.94,150.88,135.02,145.55,1567524
1/23/2023,176.76,184.7,167.05,170.86,2443312
1/24/2023,177.37,183.84,167.95,169.5,2300948
1/25/2023,161.27,163.02,153.43,161.7,2932786
1/26/2023,169.17,172.78,165.62,168.91,1655080
1/27/2023,160.61,169.67,156.49,166.37,2394918
1/30/2023,154.22,161.92,148.72,152.56,2442892
1/31/2023,163.04,168.61,154.73,165.65,1273866
2/1/2023,157.65,160.21,156.96,157.32,2525322
2/2/2023,159.87,162.89,155.63,158.21,2163501
2/3/2023,169.19,176.51,168.36,176.33,1508140
2/6/2023,154.05,162.56,148.9,159.75,992512
2/7/2023,132.04,138.75,123.05,130.86,1761703
2/8/2023,138.2,146.3,130.38,135.79,2381074
2/9/2023,151.93,159.6,149.65,158.33,2615111
2/10/2023,166.24,167.74,156.48,162.61,2451143
2/13/2023,159.66,163.9,152.99,161.26,991420
2/14/2023,162.51,164.04,162.41,163.64,1510644
2/15/2023,153.96,156.31,151.41,151.5,2349420
2/16/2023,160.79,169.48,158.18,159.61,2875915
2/17/2023,146.45,151.18,145.76,149.34,1447341
2/20/2023,153.51,158.86,143.91,146.33,2320982
2/21/2023,167.21,168.99,162.43,164.11,2887342
2/22/2023,173.59,176.71,164.63,176.07,2001838
2/23/2023,151.68,153.98,148.46,151.55,2964563
2/24/2023,132.18,134.24,130.93,133.41,1085521
2/27/2023,138.08,144.46,133.34,139.54,1787073
2/28/2023,131.04,133.61,129.9,131.95,1886787
3/1/2023,162.66,168.98,157.8,158.85,1013981
3/2/2023,146.62,147.2,137.42,140.78,1580926
3/3/2023,157.12,158.54,151.91,153.78,2895588
3/6/2023,154.66,157.41,148.5,151.98,810651
3/7/2023,134.08,140.05,132.51,138.53,1665363
3/8/2023,150.16,156.92,149.72,152.4,1237625
3/9/2023,141.03,145.46,139.92,142.42,1998734
3/10/2023,150.92,155.38,144.93,149.08,2172070
3/13/2023,140.18,147.43,139.23,140,2276402
3/14/2023,172.02,172.18,168.26,169.99,1055948
3/15/2023,138.71,142.12,133.21,134.95,2370057
3/16/2023,178.04,186.23,174.15,176.41,1661069
3/17/2023,150.8,156.83,149.16,149.88,2319825
3/20/2023,172.31,175.68,169.57,171.75,1656626
3/21/2023,161.44,170.5,152.16,166.05,1663349
3/22/2023,166.77,174.5,160.01,164.02,2961352
3/23/2023,168.39,171.04,163.43,165.81,1954424
3/24/2023,155.24,161.69,155.11,159.34,906022
3/27/2023,157.17,163.13,147.25,150.36,2261331
3/28/2023,155.7,159.71,148.99,158.61,1580741
3/29/2023,159.4,163.07,156.23,159.79,2695066
3/30/2023,131.47,134.91,122.68,128.15,1270529
3/31/2023,149.78,155.95,147.2,152.08,961445
4/3/2023,160.31,164.73,154.87,156.51,1024605
4/4/2023,159.89,168.21,153.53,162.54,1484029
4/5/2023,169.65,176.35,167.44,170.68,1943051
4/6/2023,162.75,163.45,152.97,162.37,1310370
4/7/2023,179.61,186.01,172.13,174.47,2552374
4/10/2023,144.19,146.9,138.61,142.81,1020972
4/11/2023,147.96,153.89,146.15,150.78,2541373
4/12/2023,149.19,155.99,148.65,148.9,1008944
4/13/2023,153.29,155.6,150.09,152.09,1792382
4/14/2023,171.8,176.37,164.27,173.13,2491870
4/17/2023,141.79,143.69,139.1,142.87,2161303
4/18/2023,168.8,169.32,163.4,165.25,807461
4/19/2023,150.27,154.05,142.99,151.82,1272501
4/20/2023,160.09,163.72,159.01,163.57,1997162
4/21/2023,161.63,171.58,154.78,169.18,1846161
4/24/2023,148.64,153.1,147.72,148.35,1294178
4/25/2023,155.63,158.97,145.98,155.59,2802348
4/26/2023,150.65,156.45,145.77,149.18,2579685
4/27/2023,133.46,134.35,131.95,134.32,2697501
4/28/2023,151.86,161.48,148.44,154.77,1360315
5/1/2023,134.87,141.22,130.74,132.02,2735135
5/2/2023,150.25,157.8,142.67,153.64,1473218
5/3/2023,159.65,161.35,152.22,155.17,1403291
5/4/2023,158.97,163.06,152.85,163.03,1507755
5/5/2023,163.13,167.36,162.07,167.25,2179390
5/8/2023,134.76,142.98,133.24,139.63,1834262
5/9/2023,162.61,162.62,161.67,161.79,2979431
5/10/2023,145.61,148.62,139.84,145.87,815434
5/11/2023,149.95,159.76,141.18,142.91,1519407
5/12/2023,172.9,177.65,168.56,168.83,1137913
5/15/2023,130.45,134.28,128.84,133.32,2896952
5/16/2023,159.42,160.62,153.84,155.26,1128821
5/17/2023,159.94,169.68,151.82,158.59,2980707
5/18/2023,149.83,150.03,142.41,149.83,2501243
5/19/2023,141.85,149.22,133.04,138.49,2612375
5/22/2023,141.73,149.42,138.95,142.05,1799430
5/23/2023,174.19,176.63,172.25,176.27,868803
5/24/2023,152.1,158.82,143.3,145.02,2726711
5/25/2023,146.54,147.47,139.96,145.66,1607744
5/26/2023,152.44,155.01,149.33,154.94,1548736
5/29/2023,163.47,171.35,156.05,169.84,2326318
5/30/2023,137.29,145.94,129.14,140.09,1499539
5/31/2023,152.47,158.55,146.32,150.16,1045404
6/1/2023,159.39,164.46,152.51,155.55,2151099
6/2/2023,177.43,179.02,173.68,178.05,817297
6/5/2023,142.63,143.26,137.24,142.54,1588443
6/6/2023,147.96,149.14,142.72,146.09,1368302
6/7/2023,148.97,151.24,140.49,143.12,2616030
6/8/2023,160.28,163.7,151.88,153.21,2729341
6/9/2023,147.84,151.65,139.51,140.57,2027146
6/12/2023,156.68,160.14,156.57,159.14,2358309
6/13/2023,169.09,171.48,161.59,165.74,2774847
6/14/2023,165.27,170.37,157.68,169.17,2133572
6/15/2023,152.32,160.57,145.54,156.66,2242721
6/16/2023,173.21,176.01,165.65,167.63,1311603
6/19/2023,157.91,167.33,149.49,160.44,1415863
6/20/2023,157,165.73,152.3,158.15,1307365
6/21/2023,131.71,133.33,126.69,130.52,2378608
6/22/2023,179.33,187.19,178.08,184.8,2284209
6/23/2023,136.15,141.9,132.3,140.04,1822788
6/26/2023,141.56,147.23,135.13,145.34,1628791
6/27/2023,132.58,136.49,124.78,127.75,1445194
6/28/2023,162,167.01,159.83,160.05,1001260
6/29/2023,141.24,145.21,139.86,143.82,2593795
6/30/2023,139,144.4,132.37,133.65,2051775
7/3/2023,134.43,140.71,134.41,136.39,1176794
7/4/2023,135.17,141.91,133.39,133.42,2321466
7/5/2023,159.23,164.55,158.94,162.76,1582877
7/6/2023,164.41,171.62,162.74,164.22,1508521
7/7/2023,149.87,151.28,148.06,150.17,2001700
7/10/2023,153.99,156.11,150.11,156.06,2905188
7/11/2023,164.3,172.49,160.28,161.17,2404642
7/12/2023,130.87,134.1,122.13,123.05,2534339
7/13/2023,146.16,146.39,141.06,142.87,2772424
7/14/2023,178.65,180.19,171.42,179.02,2136092
7/17/2023,159.01,161.25,157.97,158.68,2172236
7/18/2023,142.71,152.28,140.46,144.72,2655546
7/19/2023,156.09,161.82,149.06,149.93,1650350
7/20/2023,147.13,156.46,146.6,154.12,1732477
7/21/2023,156.61,162.36,151.74,156.08,967647
7/24/2023,136.29,141.08,130.3,138.48,1235477
7/25/2023,136.64,139.78,130.62,138.9,2483523
7/26/2023,137.18,143.24,136.95,138.41,2257640
7/27/2023,176.99,178.38,173.77,177.49,802352
7/28/2023,166.64,175.62,160.28,161.19,933004
7/31/2023,138.12,146.41,136.63,145.42,2381420
8/1/2023,139.42,142.6,132.47,139.06,1586261
8/2/2023,166.54,176.07,159.08,173.93,850098
8/3/2023,137.81,146.06,127.99,127.99,926060
8/4/2023,141.73,148.39,139.63,141.11,2036530
8/7/2023,178.17,179.39,169.92,173.61,2574329
8/8/2023,142.77,147.55,137.57,141.36,930544
8/9/2023,163.08,168.14,159.35,161.34,1193574
8/10/2023,178.93,181.26,177.71,179.06,1671808
8/11/2023,148.71,149.51,141.35,142.4,2472795
8/14/2023,130.88,138.65,128.52,132.7,1362060
8/15/2023,142.21,143.43,138.5,142.46,1907054
8/16/2023,171.54,177.48,170.91,174.06,2306145
8/17/2023,173.23,182.59,165.22,165.53,1992931
8/18/2023,168.43,177.19,160.76,167.68,2567858
8/21/2023,135.66,138.44,128.32,128.6,1494780
8/22/2023,169.78,178.29,166.79,177.9,1671522
8/23/2023,175.93,175.93,174.2,174.42,2655227
8/24/2023,160.03,160.21,153.65,158.29,2342247
8/25/2023,177.04,183.07,172.08,182.77,977912
8/28/2023,171.34,174.99,169.56,174.05,2981906
8/29/2023,163.35,167.21,156.49,163.99,1402276
8/30/2023,158.86,164.5,148.95,162,2300134
8/31/2023,147.43,149.35,139.96,149.18,2505243
9/1/2023,137.96,140.08,130.56,136.48,880388
9/4/2023,160.25,165.1,150.75,158.77,1039779
9/5/2023,145.91,153.45,143.88,149.89,1704850
9/6/2023,173.32,179.51,167.66,173.97,1494335
9/7/2023,179.67,182.64,169.87,177.98,1835354
9/8/2023,167.62,171.92,165.97,168.65,1980788
9/11/2023,134.52,136.23,127.52,129.42,2894945
9/12/2023,144.43,145.18,138.57,139.36,2790922
9/13/2023,135.46,143.29,129.6,130.54,1588140
9/14/2023,162.53,165.18,155.55,158.09,2769710
9/15/2023,168.26,170.04,158.96,159.47,2821770
9/18/2023,176.28,183.2,168.45,176.82,2923238
9/19/2023,151.91,158.09,151.35,153.26,1331972
9/20/2023,175.07,181.4,166.54,178.79,1939664
9/21/2023,173.89,176.18,171.63,171.97,1194423
9/22/2023,145.86,148.19,142.09,143.47,2418963
9/25/2023,173.45,175.66,168.83,173.82,1390381
9/26/2023,148.78,150.52,143.97,147.89,2009337
9/27/2023,144.84,151.4,140.49,141.19,2339600
9/28/2023,162.45,170.93,153.08,168.74,1689497
9/29/2023,146.42,153.66,139.36,151.9,838635
10/2/2023,161.51,169.43,155.2,159.9,1943647
10/3/2023,160.49,164.54,159.99,161.54,2216953
10/4/2023,158.17,164.71,149.13,164.54,1690083
10/5/2023,149.02,152.56,139.93,147.84,1221280
10/6/2023,157.42,162.68,149.62,156.56,1709245
10/9/2023,159.82,164.64,159.75,163.85,1141207
10/10/2023,157.28,159.05,156.71,157.38,2030746
10/11/2023,152.22,156.09,149.97,152.6,1392632
10/12/2023,130.73,140.37,129.42,132.35,1360881
10/13/2023,159.35,161.84,155.36,160.47,1360592
10/16/2023,138.42,139.76,129.19,135.25,2272178
10/17/2023,162.13,166.32,157.41,163.28,1962189
10/18/2023,167.97,175.87,167.84,169.87,2336081
10/19/2023,155.02,160.84,152.19,154.09,1214299
